序号,测试文本,识别意图,置信度,阈值,状态,实体信息,响应时间,期望的识别结果,期望的实体
1,音量大一点,volume_up,99.99%,0.8,已识别,[],768ms,,
2,音量再大一点,volume_up,98.67%,0.8,已识别,[],16ms,,
3,声音大一点,volume_up,99.98%,0.8,已识别,[],17ms,,
4,大声点,volume_up,99.99%,0.8,已识别,[],17ms,,
5,音量调高三十三,volume_up,99.93%,0.8,识别错误,[],18ms,volume_value,三十三
6,声音调高200,volume_value,99.92%,0.8,已识别,[],15ms,,
7,音量低一点,volume_down,99.97%,0.8,已识别,[],20ms,,
8,音量再低一点,volume_down,99.94%,0.8,已识别,[],15ms,,
9,声音小一点,volume_down,81.18%,0.8,已识别,[],15ms,,
10,小声点,volume_down,99.96%,0.8,已识别,[],14ms,,
11,音量调低三十,volume_down,99.99%,0.8,识别错误,[],15ms,volume_value,三十
12,音量调低两百,volume_down,99.99%,0.8,识别错误,[],15ms,volume_value,两百
13,音量调到五十,volume_value,99.21%,0.8,已识别,[],17ms,,
14,音量调高到百分之三十三,volume_value,98.25%,0.8,已识别,[],15ms,,
15,音量调低到五十,volume_value,99.01%,0.8,已识别,[],16ms,,
16,设置音量为八十,volume_value,96.90%,0.8,已识别,[],19ms,,
17,音量设为百分之六十,volume_down,91.31%,0.8,已识别,[],17ms,,
18,声音设为500,volume_value,99.97%,0.8,已识别,[],17ms,,
19,音量调到一百五十,volume_value,99.10%,0.8,已识别,[],14ms,,
20,音量最大,volume_max,99.95%,0.8,已识别,[],15ms,,
21,最高音量,volume_max,99.99%,0.8,已识别,[],18ms,,
22,音量调到最大,volume_max,99.99%,0.8,已识别,[],14ms,,
23,音量开到最大,volume_max,99.99%,0.8,已识别,[],14ms,,
24,选择最大音量,volume_max,99.95%,0.8,已识别,[],16ms,,
25,静音,mute,99.03%,0.8,已识别,[],15ms,,
26,静音模式,mute,99.68%,0.8,已识别,[],15ms,,
27,打开静音,mute,99.98%,0.8,已识别,[],14ms,,
28,关闭声音,mute,99.97%,0.8,已识别,[],17ms,,
29,音量调到最低,mute,99.98%,0.8,已识别,[],15ms,,
30,解除静音,unmute,99.96%,0.8,已识别,[],15ms,,
31,关闭静音,unmute,99.99%,0.8,已识别,[],17ms,,
32,取消静音,unmute,99.98%,0.8,已识别,[],17ms,,
33,恢复音量,unmute,99.95%,0.8,已识别,[],17ms,,
34,退出静音状态,unmute,100.00%,0.8,已识别,[],18ms,,
35,设置音量,volume_value,99.93%,0.8,已识别,[],14ms,,
36,帮我调整音量,volume_value,97.92%,0.8,已识别,[],16ms,,
37,声音控制,volume_up,93.04%,0.8,已识别,[],14ms,,
38,调一下声音,volume_value,99.92%,0.8,已识别,[],15ms,,
39,调节音量,volume_value,99.73%,0.8,已识别,[],13ms,,
40,亮度高一点,bright_up,100.00%,0.8,已识别,[],14ms,,
41,再亮一点,bright_up,99.98%,0.8,已识别,[],15ms,,
42,亮度大一点,bright_up,98.22%,0.8,已识别,[],17ms,,
43,亮度再高一点,bright_up,99.14%,0.8,已识别,[],18ms,,
44,屏幕亮一点,bright_up,99.84%,0.8,已识别,[],16ms,,
45,亮度增加50,bright_value,99.94%,0.8,识别错误,[],16ms,bright_value,50
46,亮度调高三十三,bright_up,100.00%,0.8,已识别,[],16ms,,
47,亮度调高200度,bright_value,99.94%,0.8,已识别,[],15ms,,
48,亮度低一点,bright_down,99.99%,0.8,已识别,[],17ms,,
49,屏幕暗一点,bright_down,100.00%,0.8,已识别,[],16ms,,
50,再暗一点,bright_down,100.00%,0.8,已识别,[],17ms,,
51,亮度暗一点,bright_down,99.67%,0.8,已识别,[],16ms,,
52,亮度再低一点,bright_down,99.98%,0.8,已识别,[],15ms,,
53,亮度调低三十,bright_down,100.00%,0.8,识别错误,[],15ms,bright_value,三十
54,亮度减少50,bright_down,90.26%,0.8,已识别,[],17ms,,
55,亮度调低120,bright_value,92.40%,0.8,已识别,[],16ms,,
